row_id,rank,shop,title,link,sku_name,price,orig,tag,height,height_evidence,bundle,custom,exclude,text
R001-S004,1,喜临门官方旗舰店,【白骑士plus】喜临门官方家用席梦思软垫黄麻偏硬弹簧乳胶厚床垫,https://detail.tmall.com/item.htm?id=613686385609&sku_properties=21433%3A50753460,白骑士Kids2.0（0胶舒脊款）【双睡感/20CM】可拆可洗整垫0胶,2549.15,3999.0,平台加补后,20.0,/20cm】,False,False,,【白骑士plus】喜临门官方家用席梦思软垫黄麻偏硬弹簧乳胶厚床垫 白骑士kids2.0（0胶舒脊款）【双睡感/20cm】可拆可洗整垫0胶
R003-S002,3,喜临门官方旗舰店,【塔利亚Pro】喜临门官方A类厚席梦思偏硬薄垫乳胶黄麻弹簧床垫子,https://detail.tmall.com/item.htm?id=626426464362&sku_properties=21433%3A50753460,塔利亚Plus【双睡感/22CM】双面可睡老少皆宜,1784.15,2699.0,平台加补后,22.0,/22cm】,False,False,,【塔利亚pro】喜临门官方a类厚席梦思偏硬薄垫乳胶黄麻弹簧床垫子 塔利亚plus【双睡感/22cm】双面可睡老少皆宜
R009-S002,9,源氏木语官方旗舰店,源氏木语0胶水床垫棕垫天然椰棕硬垫子乳胶弹簧席梦思垫椰椰,https://detail.tmall.com/item.htm?id=608354792601&sku_properties=21433%3A50753460,（1）乳胶款 ▪ 护脊实力派 ▪ 软硬适中/厚23cm,1899.0,1899.0,,23.0,厚23cm,False,False,,源氏木语0胶水床垫棕垫天然椰棕硬垫子乳胶弹簧席梦思垫椰椰 （1）乳胶款 ▪ 护脊实力派 ▪ 软硬适中/厚23cm
R010-S001,10,亚朵星球官方旗舰店,亚朵星球升级记忆棉加厚床垫软垫榻榻米垫子软硬双面两用弹簧床垫,https://detail.tmall.com/item.htm?id=670584464704&sku_properties=21433%3A50753460,普兰特床垫｜亚朵酒店升级家庭款双面可用｜厚22cm,2719.0,4022.0,店铺优惠后,22.0,厚22cm,False,False,,亚朵星球升级记忆棉加厚床垫软垫榻榻米垫子软硬双面两用弹簧床垫 普兰特床垫｜亚朵酒店升级家庭款双面可用｜厚22cm
R012-S004,12,芝华仕官方旗舰店,【芝华仕D026】政府补贴弹簧乳胶床垫席梦思酒店厚垫软硬卧室家用,https://detail.tmall.com/item.htm?id=596263974964&sku_properties=21433%3A50753460,26CM双面版|软硬双睡|睡感可选 双重防螨,1771.4,2464.0,平台加补后,,,False,False,,【芝华仕d026】政府补贴弹簧乳胶床垫席梦思酒店厚垫软硬卧室家用 26cm双面版|软硬双睡|睡感可选 双重防螨
R013-S003,13,源氏木语官方旗舰店,源氏木语零胶水护脊床垫家用黄麻垫家居乳胶垫自然派独立弹簧厚垫,https://detail.tmall.com/item.htm?id=836501541416&sku_properties=21433%3A50753460,(全垫零胶水)自然派·透气款(23CM厚/偏硬H2)J158,2346.94,3609.0,平台加补后,23.0,23cm厚,False,False,,源氏木语零胶水护脊床垫家用黄麻垫家居乳胶垫自然派独立弹簧厚垫 (全垫零胶水)自然派·透气款(23cm厚/偏硬h2)j158
R014-S021,14,moonlightfamily旗舰店,月光之家乳胶床垫家用独立弹簧软垫儿童黄麻棕硬护腰席梦思1.8米,https://detail.tmall.com/item.htm?id=20719504509&sku_properties=21433%3A50753460,全拆尊耀F【5种软硬可调 偏软/微软/适中/微硬/偏硬】闭眼选 26cm,1848.75,2699.0,平台加补后,,,False,False,,月光之家乳胶床垫家用独立弹簧软垫儿童黄麻棕硬护腰席梦思1.8米 全拆尊耀f【5种软硬可调 偏软/微软/适中/微硬/偏硬】闭眼选 26cm
R015-S001,15,雅兰官方旗舰店,【有度旗舰】雅兰床垫国家补贴官方5A乳胶弹簧硬垫0胶黄麻席梦思,https://detail.tmall.com/item.htm?id=579469019207&sku_properties=21433%3A50753460,【☆主推新品】有度·旗舰S-22cm 【双重分区承托升级】,2429.3,3899.0,平台加补后,,,False,False,,【有度旗舰】雅兰床垫国家补贴官方5a乳胶弹簧硬垫0胶黄麻席梦思 【☆主推新品】有度·旗舰s-22cm 【双重分区承托升级】
R017-S004,17,喜临门官方旗舰店,【白骑士Pros0胶】喜临门A类可拆洗席梦思乳胶透气四叶草弹簧床垫,https://detail.tmall.com/item.htm?id=820208829398&sku_properties=21433%3A50753460,白骑士0胶（经典款）【双重睡感/26cm】整垫0胶软硬可调,2719.15,4799.0,平台加补后,26.0,/26cm】,False,False,,【白骑士pros0胶】喜临门a类可拆洗席梦思乳胶透气四叶草弹簧床垫 白骑士0胶（经典款）【双重睡感/26cm】整垫0胶软硬可调
R019-S008,19,麻大师旗舰店,麻大师豆芽黄麻护脊床垫国家补贴双人硬垫子乳胶弹簧席梦思厚家用,https://detail.tmall.com/item.htm?id=679598949615&sku_properties=21433%3A50753460,豆芽甄选款【净味护脊/24CM】专研新品,2046.04,3099.0,平台加补后,24.0,/24cm】,False,False,,麻大师豆芽黄麻护脊床垫国家补贴双人硬垫子乳胶弹簧席梦思厚家用 豆芽甄选款【净味护脊/24cm】专研新品
R023-S001,23,源氏木语官方旗舰店,源氏木语0胶水床垫美满抗敏防螨透气垫家用竹炭绵垫独立弹簧厚垫,https://detail.tmall.com/item.htm?id=978756604989&sku_properties=21433%3A50753460,(全垫零胶水)美满·零胶水床垫(24CM厚/偏硬H2)JH2SFC000,2872.92,4401.0,平台加补后,24.0,24cm厚,False,False,,源氏木语0胶水床垫美满抗敏防螨透气垫家用竹炭绵垫独立弹簧厚垫 (全垫零胶水)美满·零胶水床垫(24cm厚/偏硬h2)jh2sfc000
R026-S002,26,喜临门官方旗舰店,【店播专享】【白骑士plus】喜临门席梦思乳胶软垫黄麻弹簧床垫,https://detail.tmall.com/item.htm?id=973602877186&sku_properties=21433%3A50753460,白骑士Plus+（主推升级款）【双面睡感/25CM】四重升级主卧推荐,2634.15,4099.0,平台加补后,25.0,/25cm】,False,False,,【店播专享】【白骑士plus】喜临门席梦思乳胶软垫黄麻弹簧床垫 白骑士plus+（主推升级款）【双面睡感/25cm】四重升级主卧推荐
R034-S011,34,林氏家居官方旗舰店,林氏家居乳胶床垫国家补贴0胶水甲醛0超家用弹簧护脊180x200木业,https://detail.tmall.com/item.htm?id=825215102865&sku_properties=21433%3A50753460,(11)【原竹Pro】尊享超声波弹簧轻音双面睡|正偏硬 反硬|23cm,1646.69,2809.0,平台加补后,,,False,False,,林氏家居乳胶床垫国家补贴0胶水甲醛0超家用弹簧护脊180x200木业 (11)【原竹pro】尊享超声波弹簧轻音双面睡|正偏硬 反硬|23cm
R038-S001,38,居然之家床垫企业店,【居然家居】独立弹簧床垫乳胶软垫椰棕垫护脊偏硬家用双人1.8,https://detail.tmall.com/item.htm?id=1062828878403&sku_properties=21433%3A50753460,栖月系列【柔睡偏软-26cm】舒适款 （卷包发货）,2259.3,3323.0,平台加补后,,,False,False,,【居然家居】独立弹簧床垫乳胶软垫椰棕垫护脊偏硬家用双人1.8 栖月系列【柔睡偏软-26cm】舒适款 （卷包发货）
