排名,店铺,商品标题,最低价,最高价,商品中位价,商品均价,SKU数,商品链接
1,喜临门官方旗舰店,【白骑士plus】喜临门官方家用席梦思软垫黄麻偏硬弹簧乳胶厚床垫,2294.15,4648.65,2804.15,2934.04,16,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=613686385609
2,蓝盒子官方旗舰店,蓝盒子Z1床垫独立袋装弹簧记忆棉软硬适中家用卧室单双人厚席梦思,3305.65,5158.65,3305.65,3792.54,6,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=633899833522
3,喜临门官方旗舰店,【塔利亚Pro】喜临门官方A类厚席梦思偏硬薄垫乳胶黄麻弹簧床垫子,1571.65,1911.65,1699.15,1720.4,6,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=626426464362
4,喜临门官方旗舰店,【呼呼AI智能床垫】喜临门线下同款H100H300乳胶气囊电动智能床垫,9999.0,17999.0,16499.0,15374.0,16,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=1024188563619
5,源氏木语官方旗舰店,源氏木语进口天然乳胶0胶水床垫家用空气纤维J121卧室弹簧垫元气,3638.6,4923.0,3786.7,3901.5,7,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=685133214740
6,蓝盒子官方旗舰店,蓝盒子小蓝垫床褥子学生宿舍专用床垫上下铺单人90x190软垫榻榻米,483.65,483.65,483.65,483.65,1,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=719144139608
7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,790.5,4239.8,2110.12,2171.54,24,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=40316470216
8,梦百合官方旗舰店,梦百合三体电动智能卧室独立弹簧静音深睡护脊家用可调升降夫妻床,10634.0,11666.0,11150.0,11150.0,2,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=1020526206828
9,源氏木语官方旗舰店,源氏木语0胶水床垫棕垫天然椰棕硬垫子乳胶弹簧席梦思垫椰椰,1889.0,2239.0,1899.0,2028.33,15,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=608354792601
10,亚朵星球官方旗舰店,亚朵星球升级记忆棉加厚床垫软垫榻榻米垫子软硬双面两用弹簧床垫,2719.0,3359.0,3039.0,3039.0,2,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=670584464704
11,源氏木语官方旗舰店,源氏木语天然乳胶0胶水床垫抗菌防螨黄麻硬垫家用卧室1.8米薄垫子,1959.0,2589.0,2259.0,2227.18,11,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=674419050367
12,芝华仕官方旗舰店,【芝华仕D026】政府补贴弹簧乳胶床垫席梦思酒店厚垫软硬卧室家用,1302.2,2455.65,1677.05,1720.57,5,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=596263974964
13,源氏木语官方旗舰店,源氏木语零胶水护脊床垫家用黄麻垫家居乳胶垫自然派独立弹簧厚垫,1912.58,3039.34,2412.9,2446.59,8,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=836501541416
14,moonlightfamily旗舰店,月光之家乳胶床垫家用独立弹簧软垫儿童黄麻棕硬护腰席梦思1.8米,1268.2,2899.0,1498.55,1755.48,23,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=20719504509
15,雅兰官方旗舰店,【有度旗舰】雅兰床垫国家补贴官方5A乳胶弹簧硬垫0胶黄麻席梦思,2259.3,3789.3,3066.8,2971.18,8,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=579469019207
16,全友家居官方旗舰店,全友家居席梦思弹簧床垫180x200硬垫子卧室家用椰棕床垫国家补贴,670.65,1206.15,925.65,920.34,8,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=606160220072
17,喜临门官方旗舰店,【白骑士Pros0胶】喜临门A类可拆洗席梦思乳胶透气四叶草弹簧床垫,2549.15,4598.5,3016.65,3236.55,10,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=820208829398
