原排名,商品ID,标题,店铺,支付件数,支付金额,剔除原因
36,40369770804,草原村 风干牛肉干9成干超干正宗内蒙古特产办公室休闲零食488g,草原村旗舰店,24,5079.17,非床垫商品 (包含食品特产/运费专拍差价关键词: 牛肉)
47,42777260910,草原村 风干牛肉干9成干超干正宗内蒙古草原特产办公室休闲零食,草原村旗舰店,40,3382.13,非床垫商品 (包含食品特产/运费专拍差价关键词: 牛肉)
68,610660628387,草原村 八成干风干牛肉干正宗内蒙古特产休闲零食独立小包装500g,草原村旗舰店,15,2022.93,非床垫商品 (包含食品特产/运费专拍差价关键词: 牛肉)
97,619671590241,草原村风干牛肉干500g金箔锁鲜正宗内蒙古特产零食即食肉干肉脯,草原村旗舰店,4,501.66,非床垫商品 (包含食品特产/运费专拍差价关键词: 牛肉)
98,628250957456,moonlightfamily顾客订单申请售后退换货差价链接,moonlightfamily旗舰店,501,501.0,非床垫商品 (包含食品特产/运费专拍差价关键词: 差价)
100,663753403176,moonlightfamily 床垫优惠专拍链接,moonlightfamily旗舰店,300,300.0,非床垫商品 (包含食品特产/运费专拍差价关键词: 专拍)
101,613723923241,草原村 手工炭烤牛肉干8成干内蒙古果木炭烤风干特产休闲零食500g,草原村旗舰店,2,283.0,非床垫商品 (包含食品特产/运费专拍差价关键词: 牛肉)
102,16353075304,moonlightfamily月光之家品牌价格差价 运费补差 专拍链接,moonlightfamily旗舰店,280,280.0,非床垫商品 (包含食品特产/运费专拍差价关键词: 差价)
103,679832055604,草原村 细条九成超干牛肉干正宗内蒙古风干休闲零食特产160g罐装,草原村旗舰店,3,227.8,非床垫商品 (包含食品特产/运费专拍差价关键词: 牛肉)
104,1051950014088,草原村牛肉干正宗内蒙古特产官方旗舰店9成风干长条办公零食500g,草原村旗舰店,1,224.0,非床垫商品 (包含食品特产/运费专拍差价关键词: 牛肉)
105,665538041982,草原村正宗牛板筋开袋即食内蒙古香辣烧烤零食特产独立小包装500g,草原村旗舰店,3,204.48,非床垫商品 (包含食品特产/运费专拍差价关键词: 特产)
106,761899661619,草原村 牛蹄筋内蒙古香辣味五香味麻辣零食特产小吃独立包装500g,草原村旗舰店,2,174.8,非床垫商品 (包含食品特产/运费专拍差价关键词: 特产)
107,970882276120,草原村月饼内蒙古特产奶月饼中秋节礼品芝士26年新款礼盒,草原村旗舰店,3,165.39,非床垫商品 (包含食品特产/运费专拍差价关键词: 特产)
108,585250647672,草原村酱香油炸芥菜干内蒙古风干金芥肉干晒干咸菜疙瘩香辣160g*3,草原村旗舰店,3,119.4,非床垫商品 (未包含任何床垫核心品类词)
109,599970018257,草原村牛肉干内蒙古风干牛肉干条特产休闲零食手撕香辣麻辣98g,草原村旗舰店,4,117.6,非床垫商品 (包含食品特产/运费专拍差价关键词: 牛肉)
110,1060491540081,草原村 加厚奶皮子酸奶圆桶超厚低温短保内蒙古直供奶源顺丰冷运,草原村旗舰店,3,105.4,非床垫商品 (未包含任何床垫核心品类词)
111,546142461306,草原村 内蒙古奶片奶贝零食 内蒙古特产 奶制品 原味/酸奶味120g,草原村旗舰店,3,40.86,非床垫商品 (包含食品特产/运费专拍差价关键词: 特产)
112,979249962024,草原村内蒙古风干芥菜干咸菜疙瘩通辽特产金芥肉250克*1罐,草原村旗舰店,2,34.8,非床垫商品 (包含食品特产/运费专拍差价关键词: 特产)
113,532004453424,草原村老咸菜疙瘩风干芥肉干内蒙古通辽赤峰金芥菜干特产干货488g,草原村旗舰店,1,29.8,非床垫商品 (包含食品特产/运费专拍差价关键词: 特产)
114,567480050567,草原村 赤峰油炸香辣酱香芥菜干风干金芥肉干晒干老咸菜疙瘩250g,草原村旗舰店,1,26.0,非床垫商品 (未包含任何床垫核心品类词)
115,609734853738,草原村通辽特产 手切芥肉干咸菜片内蒙古通辽风干疙瘩干晒干120g,草原村旗舰店,1,18.0,非床垫商品 (包含食品特产/运费专拍差价关键词: 特产)
116,721745371786,草原村内蒙古风干芥菜干咸菜疙瘩通辽特产金芥肉 罐装250克*1罐,牛元帅草原食品店,1,17.8,非床垫商品 (包含食品特产/运费专拍差价关键词: 特产)
117,675359454995,草原村香辣油炸芥菜丝内蒙古通辽金芥肉干疙瘩下饭菜神器晒干250g,草原村旗舰店,1,14.46,非床垫商品 (未包含任何床垫核心品类词)
118,1044271755359,0.1元预定回购享优惠,铂马仕旗舰店,26,2.6,非床垫商品 (未包含任何床垫核心品类词)
119,850712707819,1元入会,凯菲露家具旗舰店,2,2.0,非床垫商品 (未包含任何床垫核心品类词)
120,1045970553820,0.1元入会好礼,yarges悠梦思旗舰店,14,1.4,非床垫商品 (未包含任何床垫核心品类词)
122,534628505681,草原村内蒙古奶酪牛奶条棒干吃奶制品特产零食酸奶独立小包装120g,草原村旗舰店,0,0.0,无销量 (支付件数=0 或 支付金额=0)
123,541131899892,草原村内蒙古纯正牛肉干手工炭烤8成肉干风干特产独立小包装200g,草原村旗舰店,0,0.0,无销量 (支付件数=0 或 支付金额=0)
124,566735041553,原生黄麻床垫华夫格纯棉乳胶偏硬席梦思优群护脊折叠定制1.5m棕垫,优群家居正品商城,0,0.0,无销量 (支付件数=0 或 支付金额=0)
125,567446951949,青少年席梦思1.5m独立弹簧1.2米软硬两用天然椰棕垫儿童护脊床垫,优群家居正品商城,0,0.0,无销量 (支付件数=0 或 支付金额=0)
