排名,商品ID,商品标题,店铺,主图透出价格,核心材质与卖点,营销活动与服务,视觉版式风格,1.8米规格直达链接,标准商品链接,主图原图高清链接,本地主图文件名,生意参谋支付金额,支付件数,支付买家数,客单价,主图OCR完整文案
1,20719504509,月光之家乳胶床垫家用独立弹簧软垫儿童黄麻棕硬护腰席梦思1.8米,moonlightfamily旗舰店,未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴 | 免费试睡保障 | 热销爆款背书 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=20719504509,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=20719504509,https://img.alicdn.com/bao/uploaded/i2/919851856/O1CN01sVHPWB5zLED32pKq_!!4611686018427384656-0-item_pic.jpg,001_20719504509.jpg,"253,796.46 21.59%",150 5.03%,136,"1,866.15",Moonlight family ONNOON 月光之家 家装节 FAMILY 0胶+5A双认证 Moonlight family Moonlight family 优惠可叠加 政府补贴官方立减惊喜红包 88VIP Doonlight family 200天免费试睡 15% 12% 150 20年超长质保 3期免息 价保100天 免费取旧 天猫榜单 48小时顺丰速发 SF 热销榜好评榜
2,676435752637,睡眠骑士梦舒乳胶五星级酒店床垫席梦思记忆棉加厚30cm厚家用软垫,睡眠骑士床垫企业店,未透出,天然乳胶 | 零压记忆棉,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=676435752637,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=676435752637,https://img.alicdn.com/bao/uploaded/i4/720743073/O1CN01OAeAQh1YZUESKorAz_!!720743073.jpg,002_676435752637.jpg,"129,507.86 11.02%",77 2.58%,63,"2,055.68",SLEEP° 睡眠骑士 官方优选 KNIGHT 五星级酒店专供 ☆☆☆☆☆ SleepKnigh 30CM 200天免费试睡|20年超长质保 加厚超软 48小时顺丰速发 部分尺寸 及地区 花呗分期免息 365天免费仓储 免费送货到家
3,746683178170,悠梦思乳胶床垫独立弹簧1.5米1.8五星酒店席梦思软硬两用厚款定制,yarges悠梦思旗舰店,未透出,天然乳胶 | 双面双睡感/可拆洗,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=746683178170,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=746683178170,https://img.alicdn.com/bao/uploaded/i1/2215907225135/O1CN01UYps14fxinI2vH2e_!!4611686018427383343-0-item_pic.jpg,003_746683178170.jpg,"86,222.75 7.33%",92 3.08%,79,"1,091.43",YARGES悠梦思 官方5A质量等级认证 101天真正免费试睡 88 YARGES|悠梦思 活动下单即享 折 88消费券 （立即抢购无需凑单） 限时立享至高减150元 88VIP可用 数量有限详情咨询客服 天猫家装节 抢 政府补贴15% 因地区差异，补贴信息详情请见支付页面！ 官方立减12% 下单入会“抢 99 舒睡枕x2 48小时顺丰速发 质保20年 限部分 尺寸地区 免费送货到家 分期免息 1365天免费仓储
4,45590433293,铂马仕独立弹簧床垫乳胶席梦思软垫椰棕垫护脊偏硬家用双人1.8米,铂马仕旗舰店,未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴 | 免费试睡保障 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=45590433293,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=45590433293,https://img.alicdn.com/bao/uploaded/i4/2165873208/O1CN01OpjK0QUdjHB2vH2e_!!4611686018427386424-0-item_pic.jpg,004_45590433293.jpg,"85,084.55 7.24%",60 2.01%,47,"1,810.31",铂马仕 家装节 POMOSER 德国品质 20年不塌+5A双认证 1886颗专利迷你感应小弹簧 POMOSER Pomosermseepwell Pomoser mseepwell Pomoser seepwell asoo eepwell Pomose soo POMOSER 42% 4重补贴优惠至高直降 150元 政府补贴 官方补贴 惊喜红包 满1500元可用 + 立减15%+立减12% 88VIP专享券 详见支付页面 可叠加店铺券 官方 200天 真正免费试睡 20年 超长质保 Free 抽检认证 48小时顺丰速发S 发货时效 限部分 尺寸地区
5,25956076042,月光之家乳胶床垫超薄款家庭用15cm软硬独立弹簧席梦思10厘米1.8m,moonlightfamily旗舰店,未透出,天然乳胶,平台/政府大额补贴 | 免费试睡保障 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=25956076042,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=25956076042,https://img.alicdn.com/bao/uploaded/i3/919851856/O1CN01zqetc0bHjlI32pKq_!!4611686018427384656-0-item_pic.jpg,005_25956076042.jpg,"48,734.59 4.15%",31 1.04%,29,"1,680.50",Moonlight family MOONLICHT 月光之家 家装节 FAMILY 超薄迷你弹簧床垫 软硬齐全厚度10-20CM 优惠可叠加 政府补贴官方立减惊喜红包 88VIP 200天免费试睡 15% 12% 150 20年超长质保 3期免息 价保100天 免费取旧 顺丰 SF 0胶+5A双重认证 到家
6,783167304430,麻师傅全拆薄S形天然黄麻床垫1.8米家用10cm儿童老人护脊加硬椰棕,麻师傅家具旗舰店,未透出,护脊偏硬支撑 | 环保椰棕/黄麻,平台/政府大额补贴,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=783167304430,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=783167304430,https://img.alicdn.com/bao/uploaded/i3/2217706005293/O1CN01OkVRVoHd0ZK1chua_!!4611686018427380525-0-item_pic.jpg,006_783167304430.jpg,"43,560.98 3.71%",44 1.47%,39,"1,116.95",麻师傅 ? 6-20cm黄麻床垫 偏硬护脊腰轻松 政府补贴 15% 家装节 12% 48小时 中青年/老人/孕童 顺丰发货
7,15290005941,月光之家天然黄麻床垫子家用儿童硬薄全拆乳胶椰棕1.8m榻榻米定制,moonlightfamily旗舰店,未透出,天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴 | 免费试睡保障 | 热销爆款背书 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=15290005941,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=15290005941,https://img.alicdn.com/bao/uploaded/i3/919851856/O1CN01MGQTLIsLJgD32pKq_!!4611686018427384656-0-item_pic.jpg,007_15290005941.jpg,"33,367.27 2.84%",28 0.94%,23,"1,450.75",Moonlightfamily ONNOON 家装节 FAMILY 月光之家 O胶 全拆可洗软硬可调 累计爆卖超9万张 优惠可叠加 政府补贴官方立减惊喜红包 88VIP 200天免费试睡 15% 12% 150 20年超长质保 3期免息 价保100天 免费取旧 天猫榜单 48小时顺丰速发 SF 热销榜好评榜
8,650423226539,派乐熊儿童专用床垫护脊0胶弹簧偏硬席梦思青少年家用甲醛无超标,派乐熊儿童床垫品牌店,未透出,护脊偏硬支撑,平台/政府大额补贴,促销大字报冲击型 | 产品材质分层结构拆解型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=650423226539,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=650423226539,https://img.alicdn.com/bao/uploaded/i1/371424161/O1CN01W79SKTig1fL1chua_!!371424161.jpg,008_650423226539.jpg,"28,943.86 2.46%",24 0.80%,17,"1,702.58",派乐熊×专注儿童健康睡眠 面料层全拆可清洗 15% 政府补贴 因地区差异，补贴(优惠）信息详见支付页面 家装节 88VIP消费券 2W 立减12% 88VIP专享 儿童 美国出口品质+5A双认证 双线加固独立弹簧 专用
9,40640084764,儿童护脊黄麻乳胶床垫家用环保席梦思高低床天然椰棕垫1.2m折叠,铂马仕旗舰店,￥500,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=40640084764,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=40640084764,https://img.alicdn.com/bao/uploaded/i2/2165873208/O1CN01jrRP6b6X3XC2vH2e_!!4611686018427386424-0-item_pic.jpg,009_40640084764.jpg,"28,801.18 2.45%",28 0.94%,25,"1,152.05",铂马仕 家装节 POMOSER 儿童S黄麻床垫 A类母婴标准 拒绝胶水甲醛 双重补贴拍不立减！ 惊喜红包限时抢！ 政府补贴 官方补贴 惊喜红包 88折消费券 立减15% 立减12% 不止9折至高减500元 详见支付页面 可叠加店铺券 88VIP可用 送 单品直降约 现货速发顺丰到家 限部分 咨询 抢舒睡枕X2 尺寸地区 37% 200天真正免费试睡
10,691510768993,睡眠骑士乳胶床垫五星级酒店薄款独立弹簧10cm席梦思15cm家用公分,睡眠骑士床垫企业店,未透出,天然乳胶,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=691510768993,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=691510768993,https://img.alicdn.com/bao/uploaded/i4/720743073/O1CN01Nea37OVgfpB2vH2e_!!720743073.jpg,010_691510768993.jpg,"28,759.00 2.45%",17 0.57%,16,"1,797.44",SLEEP 官方优选 睡眠骑士 KNIGHT 超薄独立弹簧床垫 可选厚度10/12/15厘米 9-15CM 200天免费试睡 20年超长质保 酒店睡感 SF 48小时顺丰速发 部分尺寸 及地区 花呗分期免息 365天免费仓储 免费送货到家
