排名,商品ID,所属店铺,商品标题,1.8米起步最低价(元),SKU款型名称,平台加补后到手价(元),优惠前原价(元),价格标签,1.8米直达链接
1,20719504509,moonlightfamily旗舰店,月光之家乳胶床垫家用独立弹簧软垫儿童黄麻棕硬护腰席梦思1.8米,1268.2,风尚A 偏硬【固边防塌加固独立袋弹簧】2cm黄麻 21cm,1268.2,1867,平台加补后,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=20719504509
1,20719504509,moonlightfamily旗舰店,月光之家乳胶床垫家用独立弹簧软垫儿童黄麻棕硬护腰席梦思1.8米,1268.2,风尚B 适中【固边防塌加固独立袋弹簧】2cm乳胶 22cm,1268.2,1867,平台加补后,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=20719504509
1,20719504509,moonlightfamily旗舰店,月光之家乳胶床垫家用独立弹簧软垫儿童黄麻棕硬护腰席梦思1.8米,1268.2,风尚C 双面【固边防塌加固独立袋弹簧】2cm乳胶+2cm黄麻 24cm,1348.95,1974,平台加补后,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=20719504509
1,20719504509,moonlightfamily旗舰店,月光之家乳胶床垫家用独立弹簧软垫儿童黄麻棕硬护腰席梦思1.8米,1268.2,风尚D 偏软【固边防塌加固独立袋弹簧】3cm乳胶 24cm,1348.95,1974,平台加补后,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=20719504509
1,20719504509,moonlightfamily旗舰店,月光之家乳胶床垫家用独立弹簧软垫儿童黄麻棕硬护腰席梦思1.8米,1268.2,风尚E 双面【固边防塌加固独立袋弹簧】3cm乳胶+2cm黄麻 25cm,1398.25,2097,平台加补后,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=20719504509
1,20719504509,moonlightfamily旗舰店,月光之家乳胶床垫家用独立弹簧软垫儿童黄麻棕硬护腰席梦思1.8米,1268.2,轻奢D 双面【升级腰臀12圈加固+双钢加固防塌】2cm乳胶+2cm黄麻 24cm 店长主推,1498.55,2231,平台加补后,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=20719504509
1,20719504509,moonlightfamily旗舰店,月光之家乳胶床垫家用独立弹簧软垫儿童黄麻棕硬护腰席梦思1.8米,1268.2,轻奢F 偏软【升级腰臀12圈加固+双钢加固防塌】2cm乳胶+2cm记忆棉 24cm,1498.55,2231,平台加补后,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=20719504509
1,20719504509,moonlightfamily旗舰店,月光之家乳胶床垫家用独立弹簧软垫儿童黄麻棕硬护腰席梦思1.8米,1268.2,轻奢E 适中【升级腰臀12圈加固+双钢加固防塌】2cm乳胶 22cm,1438.2,2151,平台加补后,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=20719504509
1,20719504509,moonlightfamily旗舰店,月光之家乳胶床垫家用独立弹簧软垫儿童黄麻棕硬护腰席梦思1.8米,1268.2,轻奢G 偏硬【升级腰臀12圈加固+双钢加固防塌】2cm黄麻 22cm,1438.2,2151,平台加补后,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=20719504509
1,20719504509,moonlightfamily旗舰店,月光之家乳胶床垫家用独立弹簧软垫儿童黄麻棕硬护腰席梦思1.8米,1268.2,卷包E 适中【升级腰臀12圈加固+压缩专用弹簧】2cm乳胶 22cm,1438.2,2151,平台加补后,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=20719504509
