unique_id,itemId,source,source_name,is_company,rank,shop,title,link,main_img_url,local_img_path,min_price,max_price,median_price,mean_price,sku_count,height_display,sku_names,sku_prices
"mkt_1_613686385609","613686385609","market","天猫大盘",false,1,"喜临门官方旗舰店","【白骑士plus】喜临门官方家用席梦思软垫黄麻偏硬弹簧乳胶厚床垫","https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=613686385609","https://img.alicdn.com/bao/uploaded/i2/387542955/O1CN01VCaBZf1XhRTyaHh1h_!!4611686018427383723-0-item_pic.jpg","market_images/1.jpg",2294.15,4648.65,2804.15,2934.04,16,"20~26.5cm","白骑士Plus+（主推升级款）【双面睡感/25CM】四重升级主卧推荐 | 白骑士Plus（主推款）【双面睡感/25CM】双面可睡经典之选 | 白骑士Pros0胶（可拆洗款）【双睡感/26cm】支撑升级透气升级 | 白骑士Kids2.0（0胶舒脊款）【双睡感/20CM】可拆可洗整垫0胶 | 白骑士Lite+（基础升级款）【适中睡感/22CM】A类面料三区舒脊 | 白骑士Kids（青少年儿童款）【偏硬睡感/22CM】A类面料可拆可晒 | 白骑士Pro（透气支撑款） 【适中睡感/26.5CM】七区支撑透气舒睡 | 白骑士喜礼（纪念款）【双面睡感/25CM】双重支撑软硬两睡 | 【床垫家纺套餐】小海浪枕*2（波浪型大号）+白骑士plus＋ | 白骑士卷装（卷装款）【适中睡感/25CM】三区弹簧抑菌防螨 | 【床垫家纺套餐】空气层床笠*1+太空曲线枕*2+白骑士 plus | 【软床床垫卧室套餐】尼亚pro（云雾米）+白骑士plus | 【软床床垫卧室套餐】缓缓Pro（云雾米）+白骑士Plus | 【床垫家纺套餐】牛奶海无痕床笠*1+白骑士 plus+ | 【床垫家纺套餐】牛奶海无痕床笠*1+小海浪枕*2（波浪型大号）+白骑士 plus+ | 【卧室套餐】尼亚pro（云雾米）+XG2506*2+无痕床笠*1 +小海浪枕*2+白骑士plus+","2634.15 | 2464.15 | 2974.15 | 2549.15 | 2379.15 | 2294.15 | 2804.15 | 2804.15 | 2804.15 | 2379.15 | 2634.15 | 3798.65 | 3998.4 | 2804.15 | 2974.15 | 4648.65"
"mkt_2_633899833522","633899833522","market","天猫大盘",false,2,"蓝盒子官方旗舰店","蓝盒子Z1床垫独立袋装弹簧记忆棉软硬适中家用卧室单双人厚席梦思","https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=633899833522","https://img.alicdn.com/bao/uploaded/i3/2210120102867/O1CN01OEc7811X38cxIT9RA_!!4611686018427384787-2-item_pic.png","market_images/2.png",3305.65,5158.65,3305.65,3792.54,6,"22cm","Z1经典款【软硬适中/全网热销58W+】厚22cm | Z1经典款【软硬适中/全网热销58W+】厚22cm | Z1小石头【偏硬支撑/承托力更足】厚22cm | Z1小石头【偏硬支撑/承托力更足】厚22cm | 升级款Z1Pro【五星酒店睡感/两个弹簧系统】 | 定制特殊尺寸【尺寸请咨询客服，制作周期15-45天】","3305.65 | 3305.65 | 3305.65 | 3305.65 | 5158.65 | 4374"
"mkt_3_626426464362","626426464362","market","天猫大盘",false,3,"喜临门官方旗舰店","【塔利亚Pro】喜临门官方A类厚席梦思偏硬薄垫乳胶黄麻弹簧床垫子","https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=626426464362","https://img.alicdn.com/bao/uploaded/i1/387542955/O1CN01IsUoJq1XhRTyK8hMG_!!4611686018427383723-0-item_pic.jpg","market_images/3.jpg",1571.65,1911.65,1699.15,1720.4,6,"12.5~24cm","塔利亚Pro【双睡感/23CM】分区承托全面之选 | 塔利亚Plus【双睡感/22CM】双面可睡老少皆宜 | 塔利亚Fit【硬睡感/20CM】黄麻舒脊老人推荐 | 塔利亚Slim【双睡感/12.5CM】A类薄垫儿童推荐 | 塔利亚Air【适中睡感/19CM】适中睡感成人推荐 | 塔利亚旗舰【双睡感/24CM】","1911.65 | 1784.15 | 1614.15 | 1571.65 | 1614.15 | 1826.65"
"mkt_4_1024188563619","1024188563619","market","天猫大盘",false,4,"喜临门官方旗舰店","【呼呼AI智能床垫】喜临门线下同款H100H300乳胶气囊电动智能床垫","https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=1024188563619","market_images/4.jpg","market_images/4.jpg",9999,17999,16499,15374,16,"未标注","呼呼H100 | 【床架套餐】智慧T1（床架）+呼呼H100（床垫） | 呼呼H300 | 【床架套餐】智慧T1（床架）+呼呼H300（床垫） | 【特殊尺寸床架套餐】呼呼H100+智慧T1 | 【特殊尺寸床架套餐】呼呼H300+智慧T1 | 【软床床架套餐】山梧-杏仁白（软床）+智慧T1（床架）+呼呼H100（床垫） | 【软床床架套餐】山梧-曜石黑（软床）+智慧T1（床架）+呼呼H100（床垫） | 【软床床架套餐】山梧-狐舞棕（软床）+智慧T1（床架）+呼呼H100（床垫） | 【软床床架套餐】莫奈-丝绒棕（软床）+智慧T1（床架）+呼呼H300（床垫） | 【软床床架套餐】莫奈-晴光米（软床）+智慧T1（床架）+呼呼H300（床垫） | 【软床床架套餐】莫奈-墨羽黑（软床）+智慧T1（床架）+呼呼H300（床垫） | 【软床床架套餐】芝士分子-复古咖（软床）+智慧T1（床架）+呼呼H100（床垫） | 【软床床架套餐】芝士分子-星辰黑（软床）+智慧T1（床架）+呼呼H100（床垫） | 【软床床架套餐】芝士分子-复古咖（软床）+智慧T1（床架）+呼呼H300（床垫） | 【软床床架套餐】芝士分子-星辰黑（软床）+智慧T1（床架）+呼呼H300（床垫）","9999 | 12999 | 10999 | 13999 | 12999 | 13999 | 16999 | 16999 | 16999 | 17999 | 17999 | 17999 | 15999 | 15999 | 16999 | 16999"
"mkt_5_685133214740","685133214740","market","天猫大盘",false,5,"源氏木语官方旗舰店","源氏木语进口天然乳胶0胶水床垫家用空气纤维J121卧室弹簧垫元气","https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=685133214740","https://img.alicdn.com/bao/uploaded/i3/1105025069/O1CN01c3OzRa1nJelYfSGVu_!!4611686018427385901-0-item_pic.jpg","market_images/5.jpg",3638.6,4923,3786.7,3901.5,7,"10~24cm","（1）软硬适中 ▪ 门店热销款 ▪ 厚24cm | （2）偏硬护脊 ▪ 门店热销款 ▪ 厚24cm | （3）偏软包裹 ▪ 门店热销款 ▪ 厚24cm | （4）折叠款 ▪ 便携易收纳 ▪ 偏硬护脊/厚24cm | （8）适中款+一对慢回弹记忆棉枕头(10CM厚RA00537)J121 | （9）偏硬款+一对慢回弹记忆棉枕头(10CM厚RA00537)J121 | （10）偏软款+一对慢回弹记忆棉枕头(10CM厚RA00537)J121","3638.6 | 3638.6 | 3638.6 | 3898.3 | 4923 | 3786.7 | 3786.7"
"mkt_6_719144139608","719144139608","market","天猫大盘",false,6,"蓝盒子官方旗舰店","蓝盒子小蓝垫床褥子学生宿舍专用床垫上下铺单人90x190软垫榻榻米","https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=719144139608","https://img.alicdn.com/bao/uploaded/i4/2210120102867/O1CN01GjWSvT1X38c6uGfrb_!!4611686018427384787-2-item_pic.png","market_images/6.png",483.65,483.65,483.65,483.65,1,"未标注","默认款/标准1.8m","483.65"
"mkt_7_40316470216","40316470216","market","天猫大盘",false,7,"金橡树官方旗舰店","【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制","https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=40316470216","https://img.alicdn.com/bao/uploaded/i1/2126650380/O1CN01Ecaq5E1Eg5bq7hSF2_!!4611686018427386892-0-item_pic.jpg","market_images/7.jpg",790.5,4239.8,2110.12,2171.54,24,"3~15cm","云端2.0经典升级款 厚5cm【85D软硬适中】A类抑菌面料 | 云端2.0经典升级款 厚5cm【95D护脊撑腰】A类抑菌面料 | 云端2.0经典升级款 厚7.5cm【85D软硬适中】A类抑菌面料 | 云端2.0经典升级款 厚7.5cm【95D护脊撑腰】A类抑菌面料 | 云端2.0经典升级款 厚10cm【85D软硬适中】A类抑菌面料 | 云端2.0经典升级款 厚10cm【95D护脊撑腰】A类抑菌面料 | 云端2.0经典升级款 厚15cm【85D软硬适中】A类抑菌面料 | 云端2.0经典升级款 厚15cm【95D护脊撑腰】A类抑菌面料 | 产品对比图 （需定制请详询客服） | 云端2.0经典升级款 厚5cm【85D软硬适中】A类抑菌面料 | 云端2.0经典升级款 厚5cm【95D护脊撑腰】A类抑菌面料 | 云端2.0经典升级款 厚3cm【85D软硬适中】A类抑菌面料 | 云端2.0经典升级款 厚7.5cm【85D软硬适中】A类抑菌面料 | 云端2.0经典升级款 厚7.5cm【95D护脊撑腰】A类抑菌面料 | 云端2.0经典升级款 厚10cm【85D软硬适中】A类抑菌面料 | 云端2.0经典升级款 厚10cm【95D护脊撑腰】A类抑菌面料 | 云端2.0经典升级款 厚15cm【85D软硬适中】A类抑菌面料 | 云端2.0经典升级款 厚15cm【95D护脊撑腰】A类抑菌面料 | 【云端3.0旗舰款】厚5cm【85D软硬适中】泰国原产一体成型工艺 | 【云端3.0旗舰款】厚5cm【95D护脊撑腰】泰国原产一体成型工艺 | 【云端3.0旗舰款】厚7.5cm【85D软硬适中】泰国原产一体成型工艺 | 【云端3.0旗舰款】厚7.5cm【95D护脊撑腰】泰国原产一体成型工艺 | 【云端3.0旗舰款】厚10cm【85D软硬适中】泰国原产一体成型工艺 | 【云端3.0旗舰款】厚10cm【95D护脊撑腰】泰国原产一体成型工艺","1150.05 | 1250.35 | 1649.85 | 1760.35 | 2130.1 | 2230.4 | 3190.05 | 3550.45 | 4239.8 | 1150.9 | 1250.35 | 790.5 | 1649.85 | 1761.2 | 2130.1 | 2231.25 | 3190.05 | 3550.45 | 1550.4 | 1670.25 | 2090.15 | 2300.1 | 2720 | 2929.95"
"mkt_8_1020526206828","1020526206828","market","天猫大盘",false,8,"梦百合官方旗舰店","梦百合三体电动智能卧室独立弹簧静音深睡护脊家用可调升降夫妻床","https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=1020526206828","market_images/8.jpg","market_images/8.jpg",10634,11666,11150,11150,2,"25cm","【软硬适中】智能床架2.0-已接入米家APP+三体厚垫 | 【软硬适中】智能床架2.0-已接入米家APP+Ultra版25cm","10634 | 11666"
"mkt_9_608354792601","608354792601","market","天猫大盘",false,9,"源氏木语官方旗舰店","源氏木语0胶水床垫棕垫天然椰棕硬垫子乳胶弹簧席梦思垫椰椰","https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=608354792601","https://img.alicdn.com/bao/uploaded/i2/1105025069/O1CN01eLJFGE1nJelA80QwB_!!4611686018427385901-0-item_pic.jpg","market_images/9.jpg",1889,2239,1899,2028.33,15,"10~23cm","（1）乳胶款 ▪ 护脊实力派 ▪ 软硬适中/厚23cm | （1）乳胶款 ▪ 护脊实力派 ▪ 软硬适中/厚23cm | （2）乳胶款 ▪ 热销爆款 ▪ 偏硬护脊/厚22cm | （2）乳胶款 ▪ 热销爆款 ▪ 偏硬护脊/厚22cm | （3）乳胶款 ▪ 护脊实力派 硬度up ▪ 加硬承托/厚22cm | （3）乳胶款 ▪ 护脊实力派 硬度up ▪ 加硬承托/厚22cm | （4）记忆棉款 ▪ 热销爆款 ▪ 偏硬护脊/厚22cm | （5）记忆棉款 ▪ 护脊实力派 硬度up ▪ 加硬承托/厚22cm | （6）乳胶折叠款 ▪ 便携易收纳 ▪ 偏硬护脊/厚22cm | （7）乳胶适中款+一对高回弹记忆绵枕头（10cm厚RA00537） | （8）乳胶偏硬款+一对高回弹记忆绵枕头（10cm厚RA00537） | （9）乳胶加硬款+一对高回弹记忆绵枕头（10cm厚RA00537） | （10）乳胶适中款+床褥 | （11）乳胶偏硬款+床褥 | （12）乳胶加硬款+床褥","1889 | 1899 | 1899 | 1899 | 1899 | 1899 | 1899 | 1899 | 2199 | 2099 | 2129 | 2149 | 2199 | 2229 | 2239"
"mkt_10_670584464704","670584464704","market","天猫大盘",false,10,"亚朵星球官方旗舰店","亚朵星球升级记忆棉加厚床垫软垫榻榻米垫子软硬双面两用弹簧床垫","https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=670584464704","https://img.alicdn.com/bao/uploaded/i2/2200672691618/O1CN015KvrcZ1Np5wTZpXI5_!!2200672691618.jpg","market_images/10.jpg",2719,3359,3039,3039,2,"22~28cm","普兰特床垫｜亚朵酒店升级家庭款双面可用｜厚22cm | 普兰特床垫｜亚朵酒店同款双面可用｜厚28cm","2719 | 3359"
